,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
46,23,blue,no,never,female,1697797568418,1512,46,id23_v2_b6_r5.jpg,23,5,6,2,683,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
47,23,blue,no,never,female,1697797568418,1512,47,id3_v1_b7_r6.jpg,3,6,7,1,622,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
48,23,blue,no,never,female,1697797568418,1512,48,id25_v1_b7_r6.jpg,25,6,7,1,617,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
49,23,blue,no,never,female,1697797568418,1512,49,id11_v2_b6_r5.jpg,11,5,6,2,666,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
50,23,blue,no,never,female,1697797568418,1512,50,id4_v1_b5_r6.jpg,4,6,5,1,835,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
51,23,red,no,never,female,1697797568418,1512,51,id6_v2_b5_r7.jpg,6,7,5,2,654,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
52,23,red,no,never,female,1697797568418,1512,52,id13_v1_b5_r6.jpg,13,6,5,1,946,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
53,23,red,no,never,female,1697797568418,1512,53,id29_v1_b7_r6.jpg,29,6,7,1,1037,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
54,23,blue,no,never,female,1697797568418,1512,54,id18_v1_b7_r5.jpg,18,5,7,1,920,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
55,23,red,no,never,female,1697797568418,1512,55,id19_v1_b6_r7.jpg,19,7,6,1,1136,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
